Terms
Diversity
Equity
Inclusion
Race
Gender
Sexual orientation
Intersectionality
Privilege
Allyship
Microaggressions
Safe spaces
Unconscious bias
Cultural competence
Accessibility
Woke
Feminism
Climate change
Sustainability
Socialism
Universal healthcare
Gun control
Immigration reform
Human rights
Reproductive rights
Affordable housing
Communism
Socialism
Lesbian
Gay
Bisexual
transgender
lgbtqia+
LGBTQQIP2SAA 
LGB
LGB+
queer
questioning
intersex
pansexual
two-spirit
androgynous
asexual
Critical Race Theory
Environmental
Climate
Civil Rights
Belonging
